device_id,name
ECR_GFLM,イオン源メインガス
ECR_GFLS,イオン源サポートガス
ECR_MWP,イオン源マイクロ波源
ECR_BIASP,イオン源バイアス電極電源
ECR_EXTP,イオン源引き出し電極電源
ECR_LNSP,アインツェル電極電源
LBT_STH01P,LEBT水平ステアリング電磁石1電源
LBT_STV01P,LEBT垂直ステアリング電磁石1電源
LBT_AMP,LEBT分析電磁石
LBT_STH02P,LEBT水平ステアリング電磁石2電源
LBT_STV02P,LEBT垂直ステアリング電磁石2電源
LBT_SLTH,LEBT水平スリット
LBT_SLTV,LEBT垂直スリット
LBT_FCN01,LEBTファラデーカップ1
ECR_VPU01,イオン源真空排気ユニット1
ECR_VPU02,イオン源真空排気ユニット2
LBT_GV01,LEBTゲートバルブ1
ECR_TS01,ECRタイミングシステム1
ECR_TS02,ECRタイミングシステム2
LBT_STH03P,LEBT水平ステアリング電磁石3電源
LBT_STV03P,LEBT垂直ステアリング電磁石3電源
LBT_SOLP,LEBTソレノイド電磁石電源
LBT_TQE01P,LEBT静電四極1電源
LBT_TQE02P,LEBT静電四極2電源
LBT_TQE03P,LEBT静電四極3電源
LBT_CHPP,LEBTチョッパー電源
LBT_FCN02,LEBTファラデーカップ2
LBT_SCN,LEBTスクリーンモニタ
LBT_VPU,LEBT真空ユニット
LBT_GV02,LEBTゲートバルブ
ECR_TS03,ECRタイミングシステム3
RFQ_SSPA,RFQトランジスタアンプ
RFQ_SSPA_RFLL,RFQローレベルRFシステム
RFQ_TUN01,RFQチューナー１
RFQ_TUN02,RFQチューナー２
RFQ_TUN03,RFQチューナー３
RFQ_TUN04,RFQチューナー４
RFQ_QM01P,RFQパルス四重極電磁石電源1
RFQ_QM02P,RFQパルス四重極電磁石電源2
RFQ_QM03P,RFQパルス四重極電磁石電源3
RFQ_VPU01,RFQ真空排気ユニット１
RFQ_VPU02,RFQ真空排気ユニット１
RFQ_TS,RFQタイミングシステム
IHL_SSPA,IHLトランジスタアンプ
IHL_HBLW,IHL-HPAブロア
IHL_HFLP,IHL-HPAフィラメント電源
IHL_HCGP,IHL-HPAコントロールグリッド電源
IHL_HPLTP,IHL-HPAプレート電源
IHL_HSGP,IHL-HPAスクリーングリッド電源
IHL_RFLL,IHLローレベルRFシステム
IHL_TUN01,IHLチューナー1
IHL_TUN02,IHLチューナー2
IHL_TUN03,IHLチューナー3
IHL_VPU01,IHL真空排気ユニット１
IHL_VPU02,IHL真空排気ユニット２
IHL_VPU03,IHL真空排気ユニット３
IHL_VPU04,IHL真空排気ユニット４
IHL_GV01,IHLゲートバルブ
IHL_TS,IHLタイミングシステム
MBT_CFS,荷電変換薄膜
MBT_EMSLTH,MEBT水平エミッタンススリット
MBT_EMSLTV,MEBT垂直エミッタンススリット
MBT_EMTH,MEBT水平エミッタンスモニタ
MBT_EMTV,MEBT垂直エミッタンスモニタ
MBT_BCMP,バンチモニタ
MBT_FCN,MEBTファラデーカップ
MBT_TS,MEBTタイミングシステム
MBT_BM01,MEBT偏向電磁石1
MBT_BM02,MEBT偏向電磁石2
MBT_QM01,MEBT四極電磁石1
MBT_QM02,MEBT四極電磁石2
MBT_QM03,MEBT四極電磁石3
MBT_QM04,MEBT四極電磁石4
MBT_QM05,MEBT四極電磁石5
MBT_QM06,MEBT四極電磁石6
MBT_QM07,MEBT四極電磁石7
MBT_STH01,MEBT水平ステアリング電磁石1
MBT_STH02,MEBT水平ステアリング電磁石2
MBT_STH03,MEBT水平ステアリング電磁石3
MBT_STV01,MEBT垂直ステアリング電磁石1
MBT_STV02,MEBT垂直ステアリング電磁石2
MBT_STV03,MEBT垂直ステアリング電磁石3
SYN_BM01,シンクロトロン偏向電磁石1
SYN_QF,シンクロトロン集束四極電磁石
SYN_QD,シンクロトロン発散四極電磁石
SYN_STH01,シンクロトロン水平ステアリング電磁石1
SYN_STH02,シンクロトロン水平ステアリング電磁石2
SYN_STH03,シンクロトロン水平ステアリング電磁石3
SYN_STH04,シンクロトロン水平ステアリング電磁石4
SYN_STH05,シンクロトロン水平ステアリング電磁石5
SYN_STH06,シンクロトロン水平ステアリング電磁石6
SYN_STV01,シンクロトロン垂直ステアリング電磁石1
SYN_STV02,シンクロトロン垂直ステアリング電磁石2
SYN_STV03,シンクロトロン垂直ステアリング電磁石3
SYN_STV04,シンクロトロン垂直ステアリング電磁石4
SYN_STV05,シンクロトロン垂直ステアリング電磁石5
SYN_STV06,シンクロトロン垂直ステアリング電磁石6
SYN_BMPE01,出射バンプ電磁石1
SYN_BMPE02,出射バンプ電磁石2
SYN_BMPE03,出射バンプ電磁石3
SYN_BMPE04,出射バンプ電磁石4
SYN_SXF,クロマティシティ補正集束六極電磁石
SYN_SXD,クロマティシティ補正発散六極電磁石
SYN_SXFR,出射セパラトリクス生成用集束六極電磁石
SYN_SXDR,出射セパラトリクス生成用発散六極電磁石
SYN_BMPI01,入射バンプ電磁石1
SYN_BMPI02,入射バンプ電磁石2
SYN_ESD,出射静電セプタム電極
SYN_ESI,入射静電セプタム電極
SYN_QFD,高速遮断四極電磁石
SYN_SEP01,出射セプタム電磁石1
SYN_SEP02,出射セプタム電磁石2
